Time,Cycle Count,Moved Bikes,Cumulative Moved Bikes,Rebalanced Bikes,Cumulative Rebalanced Bikes,Rebalanced Cost,Cumulative Rebalance Cost,Time Average Rebalance Cost,Trips,Distance Moved,Cumulative Distance Moved,Supply Demand Gap Before Rebalance,Supply Demand Gap After Rebalance,Lyapunov,Lyapunov Drift,Cumulative Lyapunov,Time Average Conditional Drift
2017-09-01,0,566,566,249,249,249,249,0.0,200,94.71004015591284,94.71004015591284,194,216,327.0,0.0,0.0,0.0
2017-09-01 02:00:00,1,169,735,116,365,116,365,249.0,103,27.2526963596478,121.96273651556066,104,106,144.5,-182.5,-182.5,-182.5
2017-09-01 04:00:00,2,158,893,693,1058,693,1058,182.5,427,538.7212362136148,660.6839727291755,106,638,114.0,-30.5,-213.0,-106.5
2017-09-01 06:00:00,3,2168,3061,2284,3342,2284,3342,352.66666666666674,645,1461.6522209533114,2122.3361936824867,796,1738,3094.5,2980.5,2767.5,922.5
2017-09-01 08:00:00,4,6470,9531,2308,5650,4616,7958,835.5,623,1304.0726749603791,3426.4088686428663,1065,1069,15445.5,12351.0,15118.5,3779.625
2017-09-01 10:00:00,5,2350,11881,1033,6683,2066,10024,1591.6,505,626.397532720831,4052.8064013636968,551,668,3880.0,-11565.5,3553.0,710.6
2017-09-01 12:00:00,6,3297,15178,677,7360,1354,11378,1670.666666666667,416,277.3542542799646,4330.160655643662,415,453,2788.0,-1092.0,2461.0,410.16666666666674
2017-09-01 14:00:00,7,3252,18430,950,8310,1900,13278,1625.4285714285709,441,312.84561068629415,4643.006266329956,374,696,1797.0,-991.0,1470.0,210.0
2017-09-01 16:00:00,8,5888,24318,1943,10253,3886,17164,1659.75,568,992.8557958042622,5635.862062134218,826,1390,12365.0,10568.0,12038.0,1504.75
2017-09-01 18:00:00,9,5932,30250,1238,11491,2476,19640,1907.111111111111,408,392.04751751164696,6027.909579645865,658,653,18993.5,6628.5,18666.5,2074.055555555556
2017-09-01 20:00:00,10,2371,32621,453,11944,453,20093,1964.0,278,140.85435089837637,6168.763930544242,261,249,7748.5,-11245.0,7421.5,742.15
2017-09-01 22:00:00,11,1512,34133,442,12386,442,20535,1826.6363636363637,277,147.71746668200444,6316.481397226246,279,282,6569.5,-1179.0,6242.5,567.5
