Time,rain,clear,cloudy,apparentTemperatureHigh,apparentTemperatureLow,precipIntensity,dewPoint,humidity,windSpeed,uvIndex,visibility
2018-01-01 00:00:00,1,0,0,45.31,35.82,0.0007,38.53,0.81,6.56,1,6.213
2018-01-02 00:00:00,1,0,0,51.12,39.58,0.0056,41.71,0.87,7.29,1,5.328
2018-01-03 00:00:00,1,0,0,51.39,41.57,0.0033,39.0,0.7,11.06,1,6.144
2018-01-04 00:00:00,1,0,0,54.18,40.39,0.0065,41.68,0.81,7.31,1,5.62
2018-01-05 00:00:00,1,0,0,45.11,35.57,0.0002,38.61,0.82,4.96,1,6.216
2018-01-06 00:00:00,0,0,1,38.03,31.03,0.0,35.68,0.88,4.22,1,5.691
2018-01-07 00:00:00,0,1,0,35.47,30.91,0.0,31.58,0.76,8.2,1,6.216
2018-01-08 00:00:00,0,0,1,39.73,36.83,0.0,36.01,0.85,5.77,1,6.102
2018-01-09 00:00:00,0,0,1,42.96,40.45,0.0,39.45,0.91,3.6,1,3.352
2018-01-10 00:00:00,1,0,0,47.49,40.77,0.0002,42.92,0.9,4.26,1,5.735
2018-01-11 00:00:00,1,0,0,43.24,41.67,0.0003,41.79,0.94,3.3,1,2.883
2018-01-12 00:00:00,0,0,1,45.33,37.44,0.0,41.37,0.9,2.32,1,4.44
2018-01-13 00:00:00,0,0,1,42.78,36.42,0.0,38.01,0.84,5.33,1,5.722
2018-01-14 00:00:00,0,0,1,44.52,36.97,0.0,35.03,0.77,2.39,1,6.07
2018-01-15 00:00:00,1,0,0,51.35,36.18,0.0047,42.72,0.86,10.69,1,5.746
2018-01-16 00:00:00,0,1,0,41.41,30.52,0.0,35.19,0.76,7.8,1,6.216
2018-01-17 00:00:00,0,1,0,42.08,36.07,0.0,32.21,0.71,8.66,1,6.204
2018-01-18 00:00:00,1,0,0,44.46,31.4,0.0014,38.06,0.73,10.27,1,5.986
2018-01-19 00:00:00,0,1,0,40.0,33.31,0.0,32.63,0.78,5.6,1,6.216
2018-01-20 00:00:00,1,0,0,40.63,31.8,0.0049,35.86,0.9,3.92,1,5.518
2018-01-21 00:00:00,1,0,0,39.8,39.8,0.009,36.6,0.94,3.91,1,3.995
2018-01-22 00:00:00,0,0,1,48.91,43.94,0.0,42.78,0.81,4.71,1,6.216
2018-01-23 00:00:00,0,0,1,54.82,51.83,0.0001,47.1,0.86,8.98,1,6.176
2018-01-24 00:00:00,1,0,0,55.47,37.98,0.0082,47.1,0.88,13.28,1,5.739
2018-01-25 00:00:00,0,1,0,51.03,36.64,0.0,40.54,0.83,7.88,1,6.216
2018-01-26 00:00:00,0,0,1,44.07,32.55,0.0,38.03,0.88,3.06,1,5.894
2018-01-27 00:00:00,1,0,0,45.7,45.7,0.0006,41.84,0.89,8.22,1,5.931
2018-01-28 00:00:00,0,0,1,56.21,51.13,0.0,47.77,0.84,7.79,1,6.216
2018-01-29 00:00:00,1,0,0,54.46,32.99,0.0003,43.62,0.78,8.87,1,6.21
2018-01-30 00:00:00,0,0,1,44.36,40.23,0.0,36.35,0.84,3.72,1,5.936
2018-01-31 00:00:00,1,0,0,42.62,30.92,0.0014,38.89,0.81,10.3,1,6.147
2018-02-01 00:00:00,1,0,0,41.3,33.88,0.0018,33.88,0.76,8.14,1,6.199
2018-02-02 00:00:00,0,0,1,41.77,37.93,0.0,34.37,0.75,6.89,1,6.216
2018-02-03 00:00:00,1,0,0,40.72,30.98,0.0022,35.49,0.86,2.22,1,6.199
2018-02-04 00:00:00,0,0,1,37.45,29.17,0.0,31.91,0.78,6.28,1,6.209
2018-02-05 00:00:00,0,0,1,36.18,30.09,0.0,30.86,0.8,5.04,1,6.204
2018-02-06 00:00:00,0,0,1,35.09,28.08,0.0,27.73,0.73,4.66,1,6.216
2018-02-07 00:00:00,0,0,0,38.75,24.06,0.0001,29.54,0.77,4.42,1,6.0
2018-02-08 00:00:00,0,0,1,41.73,35.51,0.0,30.99,0.77,5.82,1,6.216
2018-02-09 00:00:00,1,0,0,38.68,27.4,0.0094,35.03,0.8,7.66,1,6.128
2018-02-10 00:00:00,1,0,0,39.77,35.43,0.0024,36.16,0.88,7.43,1,6.1
2018-02-11 00:00:00,1,0,0,40.12,25.52,0.0006,33.56,0.72,7.8,1,6.109
2018-02-12 00:00:00,0,1,0,40.34,30.09,0.0,29.5,0.73,5.84,2,6.216
2018-02-13 00:00:00,1,0,0,35.96,29.77,0.0022,35.63,0.86,7.97,1,5.909
2018-02-14 00:00:00,1,0,0,37.35,34.71,0.0067,36.29,0.88,7.54,2,5.778
2018-02-15 00:00:00,1,0,0,46.53,31.96,0.0001,38.74,0.77,5.65,2,6.052
2018-02-16 00:00:00,0,1,0,48.44,33.66,0.0,33.03,0.74,3.37,2,6.216
2018-02-17 00:00:00,0,1,0,50.7,32.59,0.0,34.77,0.78,2.2,2,5.753
2018-02-18 00:00:00,0,0,1,51.73,41.91,0.0,38.51,0.83,3.35,2,5.928
2018-02-19 00:00:00,1,0,0,51.21,43.91,0.0027,45.64,0.93,4.09,2,3.235
2018-02-20 00:00:00,1,0,0,45.91,32.97,0.002,42.42,0.88,7.84,2,4.566
2018-02-21 00:00:00,0,0,1,41.88,31.0,0.0,35.29,0.84,3.84,2,3.809
2018-02-22 00:00:00,0,0,1,38.51,28.91,0.0,29.47,0.72,5.7,2,5.794
