Time,rain_h,clear_h,cloudy_h,apparentTemperature_h,precipIntensity_h,dewPoint_h,humidity_h,windSpeed_h,uvIndex_h,visibility_h
2018-01-01 00:00:00,0,0,1,40.1,0.0,38.41,0.76,10.88,0.0,6.216
2018-01-01 01:00:00,0,0,1,40.2,0.0,38.76,0.8,8.17,0.0,6.216
2018-01-01 02:00:00,0,1,0,38.72,0.0,38.18,0.81,8.87,0.0,6.216
2018-01-01 03:00:00,0,1,0,39.92,0.0,37.47,0.79,5.97,0.0,6.216
2018-01-01 04:00:00,0,0,1,39.79,0.0,37.17,0.81,4.84,0.0,6.216
2018-01-01 05:00:00,0,0,1,38.88,0.0,37.23,0.79,7.26,0.0,6.216
2018-01-01 06:00:00,0,1,0,37.68,0.0,37.24,0.81,8.22,0.0,6.216
2018-01-01 07:00:00,0,1,0,38.39,0.0,37.36,0.83,5.62,0.0,6.216
2018-01-01 08:00:00,0,1,0,38.58,0.0,37.69,0.82,6.8,0.0,6.216
2018-01-01 09:00:00,0,1,0,40.22,0.0,37.84,0.83,4.26,0.0,6.216
2018-01-01 10:00:00,0,0,1,43.69,0.0,39.11,0.84,2.68,0.0,6.216
2018-01-01 11:00:00,0,0,1,42.22,0.0,40.51,0.86,4.22,0.0,6.216
2018-01-01 12:00:00,1,0,0,45.29,0.0012,40.65,0.84,1.44,1.0,6.194
2018-01-01 13:00:00,1,0,0,43.5,0.0051,41.51,0.86,4.1,0.0,6.177
2018-01-01 14:00:00,1,0,0,41.7,0.0086,40.29,0.84,5.89,0.0,6.216
2018-01-01 15:00:00,1,0,0,41.86,0.0019,39.86,0.82,5.52,0.0,6.216
2018-01-01 16:00:00,0,0,1,41.91,0.0,39.15,0.81,4.82,0.0,6.216
2018-01-01 17:00:00,0,0,1,38.39,0.0,38.99,0.83,9.56,0.0,6.216
2018-01-01 18:00:00,0,0,1,39.63,0.0,38.35,0.81,6.91,0.0,6.216
2018-01-01 19:00:00,0,0,1,39.52,0.0,38.38,0.8,7.88,0.0,6.216
2018-01-01 20:00:00,0,1,0,40.99,0.0,37.67,0.77,6.34,0.0,6.216
2018-01-01 21:00:00,0,0,1,41.42,0.0,37.75,0.74,8.33,0.0,6.216
2018-01-01 22:00:00,0,0,1,40.37,0.0,37.35,0.72,11.58,0.0,6.216
2018-01-01 23:00:00,0,0,1,38.8,0.0,36.92,0.74,11.91,0.0,6.216
2018-01-02 00:00:00,0,1,0,40.12,0.0,36.15,0.73,7.53,0.0,6.216
2018-01-02 01:00:00,0,1,0,37.55,0.0,35.97,0.75,10.93,0.0,6.216
2018-01-02 02:00:00,0,1,0,39.46,0.0,36.13,0.78,5.01,0.0,6.216
2018-01-02 03:00:00,0,1,0,37.44,0.0,35.97,0.8,6.3,0.0,6.216
2018-01-02 04:00:00,0,1,0,36.94,0.0,36.08,0.83,5.61,0.0,6.216
2018-01-02 05:00:00,0,1,0,38.42,0.0,35.52,0.82,3.44,0.0,6.216
2018-01-02 06:00:00,0,1,0,39.52,0.0,34.81,0.83,2.94,0.0,6.216
2018-01-02 07:00:00,0,1,0,35.93,0.0,35.54,0.85,5.31,0.0,6.216
2018-01-02 08:00:00,0,1,0,37.08,0.0,36.06,0.86,4.16,0.0,6.216
2018-01-02 09:00:00,0,1,0,40.46,0.0,36.19,0.85,2.85,0.0,6.216
2018-01-02 10:00:00,0,1,0,40.2,0.0,38.07,0.86,3.38,0.0,6.216
2018-01-02 11:00:00,1,0,0,41.18,0.0058,39.74,0.86,4.43,0.0,3.868
2018-01-02 12:00:00,1,0,0,40.35,0.0529,42.74,0.93,7.79,1.0,4.207
2018-01-02 13:00:00,1,0,0,42.81,0.0213,44.81,0.94,7.38,0.0,3.79
2018-01-02 14:00:00,1,0,0,43.6,0.0039,46.23,0.94,9.31,0.0,2.979
2018-01-02 15:00:00,1,0,0,44.53,0.0014,46.97,0.93,10.93,0.0,6.051
2018-01-02 16:00:00,0,0,1,46.68,0.0,47.64,0.92,7.64,0.0,6.216
2018-01-02 17:00:00,0,0,1,50.53,0.0,47.62,0.9,6.03,0.0,6.2
2018-01-02 18:00:00,0,0,1,50.68,0.0,47.55,0.89,5.42,0.0,5.597
2018-01-02 19:00:00,1,0,0,46.35,0.0033,47.35,0.91,8.9,0.0,4.947
2018-01-02 20:00:00,1,0,0,50.07,0.0023,47.05,0.89,12.18,0.0,4.355
2018-01-02 21:00:00,1,0,0,45.08,0.0195,47.51,0.91,13.12,0.0,3.068
2018-01-02 22:00:00,1,0,0,51.79,0.0176,49.97,0.93,14.0,0.0,3.702
2018-01-02 23:00:00,1,0,0,53.62,0.002,51.45,0.92,13.66,0.0,4.837
2018-01-03 00:00:00,1,0,0,52.87,0.0481,49.64,0.89,13.83,0.0,6.205
2018-01-03 01:00:00,1,0,0,50.55,0.0418,44.4,0.79,9.99,0.0,6.216
2018-01-03 02:00:00,1,0,0,44.74,0.004,42.31,0.76,12.86,0.0,6.216
2018-01-03 03:00:00,0,0,1,44.09,0.0005,39.99,0.72,10.16,0.0,5.986
2018-01-03 04:00:00,0,0,1,41.66,0.0028,37.64,0.69,12.84,0.0,6.216
2018-01-03 05:00:00,0,0,1,41.98,0.0005,37.22,0.7,9.56,0.0,6.216
2018-01-03 06:00:00,0,0,1,39.62,0.0,36.19,0.68,14.63,0.0,6.211
2018-01-03 07:00:00,0,0,1,40.46,0.0,36.39,0.68,13.84,0.0,6.216
2018-01-03 08:00:00,0,0,1,40.56,0.0,36.66,0.68,13.94,0.0,6.216
2018-01-03 09:00:00,0,0,1,42.5,0.0,37.79,0.7,10.13,0.0,6.216
2018-01-03 10:00:00,0,0,1,43.11,0.0,37.7,0.68,10.57,0.0,6.216
2018-01-03 11:00:00,0,0,1,43.85,0.0,39.22,0.69,13.65,0.0,6.216
2018-01-03 12:00:00,0,0,1,44.86,0.0,39.33,0.67,13.92,1.0,6.216
2018-01-03 13:00:00,0,0,1,50.68,0.0,38.6,0.63,11.1,0.0,6.216
2018-01-03 14:00:00,0,0,1,50.84,0.0,38.25,0.62,12.83,0.0,6.216
2018-01-03 15:00:00,0,0,1,46.69,0.0,37.56,0.62,7.77,0.0,6.216
2018-01-03 16:00:00,0,0,1,44.77,0.0,37.77,0.66,9.4,0.0,6.216
2018-01-03 17:00:00,0,0,1,42.91,0.0,37.97,0.68,12.28,0.0,6.208
2018-01-03 18:00:00,0,0,1,43.53,0.0,39.54,0.73,9.36,0.0,6.216
2018-01-03 19:00:00,0,0,1,42.4,0.0,39.35,0.72,13.71,0.0,6.206
2018-01-03 20:00:00,0,1,0,43.31,0.0,39.54,0.73,9.43,0.0,6.208
2018-01-03 21:00:00,0,0,1,44.1,0.0,39.91,0.76,5.81,0.0,5.641
2018-01-03 22:00:00,0,0,1,43.24,0.0,39.47,0.76,6.47,0.0,5.641
2018-01-03 23:00:00,0,0,1,42.96,0.0,39.49,0.77,6.7,0.0,5.622
2018-01-04 00:00:00,0,0,1,43.02,0.0,40.16,0.8,5.51,0.0,5.571
2018-01-04 01:00:00,0,1,0,41.57,0.0,39.59,0.8,6.91,0.0,6.216
2018-01-04 02:00:00,0,1,0,42.7,0.0,38.84,0.79,4.37,0.0,6.216
2018-01-04 03:00:00,0,1,0,43.5,0.0,39.33,0.79,4.03,0.0,6.216
2018-01-04 04:00:00,0,1,0,43.83,0.0,39.86,0.81,3.42,0.0,6.216
2018-01-04 05:00:00,1,0,0,44.47,0.0061,40.94,0.87,0.55,0.0,5.532
2018-01-04 06:00:00,1,0,0,44.34,0.0461,42.17,0.92,0.31,0.0,4.196
2018-01-04 07:00:00,1,0,0,42.68,0.0276,42.63,0.93,3.71,0.0,3.701
2018-01-04 08:00:00,1,0,0,42.22,0.0384,42.87,0.94,4.33,0.0,2.75
2018-01-04 09:00:00,1,0,0,41.87,0.0122,43.41,0.95,5.42,0.0,2.292
2018-01-04 10:00:00,1,0,0,47.38,0.0147,47.26,0.96,3.61,0.0,5.552
2018-01-04 11:00:00,0,0,1,52.36,0.0,49.44,0.9,4.69,0.0,6.141
2018-01-04 12:00:00,1,0,0,53.51,0.001,49.57,0.86,12.71,1.0,6.216
2018-01-04 13:00:00,0,0,1,54.18,0.0,46.66,0.76,15.68,0.0,6.216
2018-01-04 14:00:00,0,0,1,53.19,0.0,44.07,0.71,11.2,0.0,6.216
2018-01-04 15:00:00,0,0,1,51.5,0.0,41.4,0.68,16.46,0.0,6.216
2018-01-04 16:00:00,0,0,1,44.76,0.0,39.74,0.69,12.71,0.0,6.216
2018-01-04 17:00:00,0,0,1,43.05,0.0,38.51,0.7,10.83,0.0,6.216
2018-01-04 18:00:00,0,1,0,41.35,0.0,37.82,0.7,13.2,0.0,6.216
2018-01-04 19:00:00,0,1,0,41.84,0.0,37.5,0.72,8.06,0.0,6.216
2018-01-04 20:00:00,0,1,0,41.91,0.0,38.58,0.77,6.58,0.0,6.216
2018-01-04 21:00:00,0,1,0,42.29,0.0,39.18,0.77,6.92,0.0,6.216
2018-01-04 22:00:00,1,0,0,41.84,0.0009,39.32,0.78,7.57,0.0,6.204
2018-01-04 23:00:00,1,0,0,42.37,0.0062,39.7,0.84,3.77,0.0,6.12
2018-01-05 00:00:00,1,0,0,40.72,0.0053,40.01,0.88,4.47,0.0,6.216
2018-01-05 01:00:00,1,0,0,41.83,0.0016,39.23,0.9,2.01,0.0,6.216
2018-01-05 02:00:00,0,0,1,41.5,0.0002,40.83,0.91,3.55,0.0,6.216
2018-01-05 03:00:00,0,0,1,42.41,0.0,41.0,0.89,3.41,0.0,6.216
2018-01-05 04:00:00,0,0,1,40.4,0.0,40.83,0.89,5.99,0.0,6.213
2018-01-05 05:00:00,0,0,1,41.77,0.0,39.75,0.85,4.03,0.0,6.216
2018-01-05 06:00:00,0,0,1,41.07,0.0,39.77,0.88,3.95,0.0,6.216
2018-01-05 07:00:00,0,0,1,40.68,0.0,39.98,0.88,4.61,0.0,6.216
2018-01-05 08:00:00,0,0,1,41.55,0.0,40.93,0.88,5.03,0.0,6.216
2018-01-05 09:00:00,0,1,0,42.11,0.0005,40.89,0.85,5.44,0.0,6.216
2018-01-05 10:00:00,0,0,1,40.8,0.0003,40.56,0.85,7.32,0.0,6.216
2018-01-05 11:00:00,0,1,0,40.93,0.0,40.36,0.83,8.14,0.0,6.216
2018-01-05 12:00:00,0,0,1,42.89,0.0,40.13,0.75,10.84,1.0,6.216
2018-01-05 13:00:00,0,0,1,45.07,0.0,39.27,0.72,6.39,0.0,6.216
2018-01-05 14:00:00,0,0,1,44.2,0.0,37.66,0.68,7.6,0.0,6.216
2018-01-05 15:00:00,0,0,1,42.48,0.0,37.44,0.7,9.1,0.0,6.216
2018-01-05 16:00:00,0,1,0,42.78,0.0,36.46,0.7,5.75,0.0,6.216
2018-01-05 17:00:00,0,0,1,40.86,0.0,36.82,0.76,5.04,0.0,6.216
2018-01-05 18:00:00,0,0,1,39.86,0.0,35.87,0.77,4.43,0.0,6.216
2018-01-05 19:00:00,0,0,1,38.16,0.0,36.06,0.83,4.25,0.0,6.216
2018-01-05 20:00:00,0,0,1,40.33,0.0,35.52,0.83,0.61,0.0,6.216
2018-01-05 21:00:00,0,0,1,39.4,0.0,35.5,0.86,2.6,0.0,6.216
2018-01-05 22:00:00,0,1,0,39.27,0.0,35.53,0.86,1.27,0.0,6.216
2018-01-05 23:00:00,0,1,0,38.12,0.0,35.09,0.89,1.01,0.0,6.216
2018-01-06 00:00:00,0,0,1,37.99,0.0,35.35,0.9,0.92,0.0,6.216
2018-01-06 01:00:00,0,1,0,38.77,0.0,36.6,0.92,0.89,0.0,6.192
2018-01-06 02:00:00,0,0,1,38.66,0.0,36.43,0.92,0.91,0.0,6.191
2018-01-06 03:00:00,0,0,1,38.72,0.0,36.23,0.91,0.95,0.0,6.179
2018-01-06 04:00:00,0,1,0,38.16,0.0,35.48,0.9,0.96,0.0,6.203
2018-01-06 05:00:00,0,1,0,36.95,0.0,34.65,0.91,1.14,0.0,6.134
2018-01-06 06:00:00,0,1,0,35.57,0.0,33.91,0.94,1.17,0.0,6.135
2018-01-06 07:00:00,0,1,0,36.63,0.0,34.32,0.91,1.15,0.0,4.302
2018-01-06 08:00:00,0,1,0,35.76,0.0,33.92,0.93,1.88,0.0,2.979
