data,model,RMSE
Test,Bi-LSTM,2.5035866178419766
Test,Bi-LSTM,2.515569362287807
Test,Bi-LSTM,2.488737420045779
Test,Bi-LSTM,2.5489991539431194
Test,Bi-LSTM,2.511042321095335
Test,Bi-LSTM,2.5358457236182654
Test,Bi-LSTM,2.5900084330842157
Test,Bi-LSTM,2.5777780760968727
Test,Bi-LSTM,2.5138540535594656
Test,Bi-LSTM,2.4839961627413856
Test,Bi-LSTM,2.530554745047814
Test,Bi-LSTM,2.4904120286650353
Test,Bi-LSTM,2.490785182472843
Train,Bi-LSTM,2.542398235890936
Train,Bi-LSTM,2.5222006583561285
Train,Bi-LSTM,2.5257190085730183
Train,Bi-LSTM,2.5929954500525585
Train,Bi-LSTM,2.563645478083998
Train,Bi-LSTM,2.5632794780462795
Train,Bi-LSTM,2.5987165758990005
Train,Bi-LSTM,2.575575351714746
Train,Bi-LSTM,2.566836254804894
Train,Bi-LSTM,2.515698153224621
Train,Bi-LSTM,2.573884975663506
Train,Bi-LSTM,2.5096813457550216
Train,Bi-LSTM,2.55487900928978
Test,GRU,2.4722580647527184
Test,GRU,2.4947211329547594
Test,GRU,2.482783349350068
Test,GRU,2.448931736886016
Test,GRU,2.5447313430297673
Test,GRU,2.4595713317508006
Test,GRU,2.488142016293803
Test,GRU,2.4678266341919093
Test,GRU,2.4701868976240413
Test,GRU,2.524824406866145
Test,GRU,2.5063430509113864
Test,GRU,2.5123247775749338
Test,GRU,2.489912139866067
Train,GRU,2.521040244428155
Train,GRU,2.545957882239668
Train,GRU,2.511701390293062
Train,GRU,2.4997855014970325
Train,GRU,2.5737791890657724
Train,GRU,2.511607067493926
Train,GRU,2.5338588794734918
Train,GRU,2.502783936740243
Train,GRU,2.4910610984665884
Train,GRU,2.5486421386688254
Train,GRU,2.5481084670105854
Train,GRU,2.53144743404953
Train,GRU,2.5405995931777126
Test,LSTM,2.480950695642658
Test,LSTM,2.504190351161753
Test,LSTM,2.5245061879233988
Test,LSTM,2.494620887820746
Test,LSTM,2.4399283903101785
Test,LSTM,2.49890797717203
Test,LSTM,2.535446739493148
Test,LSTM,2.5273591389664034
Test,LSTM,2.561892312338462
Test,LSTM,2.4975854298095075
Test,LSTM,2.5185949924485045
Test,LSTM,2.5571285251951235
Test,LSTM,2.494014819291005
Train,LSTM,2.5045899978687847
Train,LSTM,2.520343609315034
Train,LSTM,2.5425641133279018
Train,LSTM,2.54888571134724
Train,LSTM,2.4896484849688774
Train,LSTM,2.5264029260543457
Train,LSTM,2.5588782093118905
Train,LSTM,2.561266650872199
Train,LSTM,2.5811463644864556
Train,LSTM,2.521046068681957
Train,LSTM,2.5543990558215235
Train,LSTM,2.559406063752821
Train,LSTM,2.520445678111082
