data,model,RMSE
Test,Bi-LSTM,2.47833004429867
Test,Bi-LSTM,2.433924454958755
Test,Bi-LSTM,2.5504591637925524
Test,Bi-LSTM,2.4801604214580237
Test,Bi-LSTM,2.5063418122041363
Test,Bi-LSTM,2.4984609717965998
Test,Bi-LSTM,2.559152040238908
Test,Bi-LSTM,2.505085418195167
Test,Bi-LSTM,2.4854731967629644
Test,Bi-LSTM,2.560832069043431
Test,Bi-LSTM,2.5413161589168944
Test,Bi-LSTM,2.5028345748435727
Test,Bi-LSTM,2.554458412449104
Test,Bi-LSTM,2.5854872493591308
Test,Bi-LSTM,2.5005783655964184
Test,Bi-LSTM,2.501442944781492
Test,Bi-LSTM,2.5390868043958963
Test,Bi-LSTM,2.494076780161184
Test,Bi-LSTM,2.457201092336805
Test,Bi-LSTM,2.5383603781876984
Test,Bi-LSTM,2.5039582843829478
Test,Bi-LSTM,2.5600517554251745
Test,Bi-LSTM,2.5231481805529836
Test,Bi-LSTM,2.4985709328330308
Test,Bi-LSTM,2.4864839221231976
Test,Bi-LSTM,2.5129528614237917
Test,Bi-LSTM,2.488432945227565
Test,Bi-LSTM,2.4951926269828655
Test,Bi-LSTM,2.5874045959823593
Train,Bi-LSTM,2.5238657133971554
Train,Bi-LSTM,2.4978711444317683
Train,Bi-LSTM,2.5578300876920435
Train,Bi-LSTM,2.5103171327831317
Train,Bi-LSTM,2.5640410492154238
Train,Bi-LSTM,2.537985020204241
Train,Bi-LSTM,2.533646764274002
Train,Bi-LSTM,2.5390050807346407
Train,Bi-LSTM,2.5286038210125654
Train,Bi-LSTM,2.5732981549737493
Train,Bi-LSTM,2.613777616853626
Train,Bi-LSTM,2.54115133654279
Train,Bi-LSTM,2.5451332284540453
Train,Bi-LSTM,2.619757479451774
Train,Bi-LSTM,2.5599007123183446
Train,Bi-LSTM,2.51417584782769
Train,Bi-LSTM,2.580593660255879
Train,Bi-LSTM,2.537029741937648
Train,Bi-LSTM,2.498450558983132
Train,Bi-LSTM,2.5721629687649
Train,Bi-LSTM,2.531509365118033
Train,Bi-LSTM,2.623526774184738
Train,Bi-LSTM,2.5813069452606623
Train,Bi-LSTM,2.5476112008370277
Train,Bi-LSTM,2.509463337716449
Train,Bi-LSTM,2.5713654136047377
Train,Bi-LSTM,2.5190126900418854
Train,Bi-LSTM,2.565165418271547
Train,Bi-LSTM,2.5884418045384066
Test,GRU,2.505453900034596
Test,GRU,2.508247684598098
Test,GRU,2.4558570070256383
Test,GRU,2.4578968682947187
Test,GRU,2.439586975014111
Test,GRU,2.4785186962387002
Test,GRU,2.4296227550550733
Test,GRU,2.4738447029095476
Test,GRU,2.54830118417987
Test,GRU,2.452139698197254
Test,GRU,2.436979821651083
Test,GRU,2.4964797805597456
Test,GRU,2.4911555694099556
Test,GRU,2.512907651979435
Test,GRU,2.5202484505503295
Test,GRU,2.4671997972500153
Test,GRU,2.479449705599849
Test,GRU,2.478432376670414
Test,GRU,2.486029808434947
Test,GRU,2.4627782227389927
Test,GRU,2.4786440951641273
Test,GRU,2.4325777037234575
Test,GRU,2.523988221461292
Test,GRU,2.4523609724881226
Test,GRU,2.5057684593940475
Test,GRU,2.4925188164360286
Test,GRU,2.482588795136275
Test,GRU,2.4651435777109834
Test,GRU,2.464289484425503
Test,GRU,2.4600048922803284
Train,GRU,2.5609592045218825
Train,GRU,2.5308144244725668
Train,GRU,2.5199181056332223
Train,GRU,2.5174212337447615
Train,GRU,2.4933861053013904
Train,GRU,2.5270476100839736
Train,GRU,2.5097715082475798
Train,GRU,2.5207661638473735
Train,GRU,2.563396933578842
Train,GRU,2.524328151399442
Train,GRU,2.511746133591011
Train,GRU,2.551608524063391
Train,GRU,2.5202143074744425
Train,GRU,2.547324690760017
Train,GRU,2.536000160434094
Train,GRU,2.5040674751930108
Train,GRU,2.5463633519528863
Train,GRU,2.5467441852885533
Train,GRU,2.5185071831674675
Train,GRU,2.5255051900073364
Train,GRU,2.5446757330634364
Train,GRU,2.5089452996504304
Train,GRU,2.549187294637465
Train,GRU,2.5232406094316504
Train,GRU,2.532224668347758
Train,GRU,2.530323788081456
Train,GRU,2.525855386750399
Train,GRU,2.537950251075481
Train,GRU,2.5623904699198428
Train,GRU,2.5293675771109463
Test,LSTM,2.566921475670122
Test,LSTM,2.561729591769176
Test,LSTM,2.5154435513588873
Test,LSTM,2.456812190950028
Test,LSTM,2.5366957389091707
Test,LSTM,2.481449918791246
Test,LSTM,2.528874501452279
