data,model,RMSE
Test,Bi-LSTM,2.5344467616751465
Test,Bi-LSTM,2.6910813347855593
Test,Bi-LSTM,2.6075607252067283
Test,Bi-LSTM,2.579000917455891
Test,Bi-LSTM,2.6327179178260973
Test,Bi-LSTM,2.6814082139896005
Test,Bi-LSTM,2.5591545839957752
Test,Bi-LSTM,2.6265089885422612
Train,Bi-LSTM,2.5255612668713274
Train,Bi-LSTM,2.6721076963666377
Train,Bi-LSTM,2.602436243560196
Train,Bi-LSTM,2.5683323985071826
Train,Bi-LSTM,2.603875275936674
Train,Bi-LSTM,2.642733196208496
Train,Bi-LSTM,2.564378587720524
Train,Bi-LSTM,2.6478785615286533
Test,GRU,2.5878259699867927
Test,GRU,2.6158477185858384
Test,GRU,2.5707842632222806
Test,GRU,2.570529869906428
Test,GRU,2.553180907842182
Test,GRU,2.552103630917156
Test,GRU,2.6026783132626297
Test,GRU,2.5095152234641276
Train,GRU,2.5915460304087405
Train,GRU,2.6216135931019786
Train,GRU,2.5556057023210097
Train,GRU,2.5955730994959216
Train,GRU,2.5756245998892786
Train,GRU,2.5747483276379035
Train,GRU,2.6011078411118653
Train,GRU,2.5561110930789512
Test,LSTM,2.5593584003731356
Test,LSTM,2.6323497727976624
Test,LSTM,2.520115288959564
Test,LSTM,2.531276295269906
Test,LSTM,2.570175251254522
Test,LSTM,2.538338940459853
Test,LSTM,2.6949977461018304
Test,LSTM,2.50254906882775
Train,LSTM,2.5626313822445272
Train,LSTM,2.6175844702519777
Train,LSTM,2.5258983024669766
Train,LSTM,2.5501037607581996
Train,LSTM,2.5687895432741676
Train,LSTM,2.5554097071219415
Train,LSTM,2.651045683357521
Train,LSTM,2.5325913478214317
