data,model,RMSE
Test,Bi-LSTM,2.5422511028140224
Test,Bi-LSTM,2.5836627669009036
Test,Bi-LSTM,2.5267968503897533
Test,Bi-LSTM,2.6303376169188764
Test,Bi-LSTM,2.5388337133241117
Test,Bi-LSTM,2.5352461635315424
Test,Bi-LSTM,2.4904959330715495
Test,Bi-LSTM,2.558336377886016
Test,Bi-LSTM,2.44766986719101
Test,Bi-LSTM,2.5450099120415866
Test,Bi-LSTM,2.556132651698152
Train,Bi-LSTM,2.602619077207962
Train,Bi-LSTM,2.61800911621746
Train,Bi-LSTM,2.5514761896713756
Train,Bi-LSTM,2.6768128999264005
Train,Bi-LSTM,2.5745311055976208
Train,Bi-LSTM,2.551256719274871
Train,Bi-LSTM,2.539231354175016
Train,Bi-LSTM,2.5993743202173296
Train,Bi-LSTM,2.536609458237942
Train,Bi-LSTM,2.5536937426580746
Train,Bi-LSTM,2.603289500364651
Test,GRU,2.522670571624634
Test,GRU,2.5117863490304506
Test,GRU,2.5181638038739433
Test,GRU,2.4672065280991755
Test,GRU,2.482908374241635
Test,GRU,2.4852667941169666
Test,GRU,2.449166097212364
Test,GRU,2.4412919484678897
Test,GRU,2.522477491836726
Test,GRU,2.5017743144459277
Test,GRU,2.480913541694405
Train,GRU,2.5212409950588826
Train,GRU,2.5517362028038657
Train,GRU,2.5219179850349733
Train,GRU,2.5121587804597185
Train,GRU,2.5366839187877055
Train,GRU,2.535796390609779
Train,GRU,2.5429031378772304
Train,GRU,2.5161414006066463
Train,GRU,2.5506761352444585
Train,GRU,2.511841374756097
Train,GRU,2.545470781354352
Test,LSTM,2.556364408782003
Test,LSTM,2.6013217377481332
Test,LSTM,2.500822686544745
Test,LSTM,2.458529586567145
Test,LSTM,2.5044248419466832
Test,LSTM,2.515139092707503
Test,LSTM,2.4958983650677733
Test,LSTM,2.553547217923105
Test,LSTM,2.540297582470465
Test,LSTM,2.503147196747652
Test,LSTM,2.548484110775222
Train,LSTM,2.5935053285296354
Train,LSTM,2.618243754146693
Train,LSTM,2.5382910779528225
Train,LSTM,2.528737066742259
Train,LSTM,2.5383387067633634
Train,LSTM,2.5153132519481534
Train,LSTM,2.5386370350446836
Train,LSTM,2.6126628741037123
Train,LSTM,2.572073315768289
Train,LSTM,2.514787703019452
Train,LSTM,2.55978936938884
