data,model,RMSE
Test,Bi-LSTM,2.527116999342715
Test,Bi-LSTM,2.6069904937317188
Test,Bi-LSTM,2.5228627080393484
Test,Bi-LSTM,2.593294097281956
Test,Bi-LSTM,2.513538230964628
Test,Bi-LSTM,2.5497173770603503
Test,Bi-LSTM,2.5280398360931904
Test,Bi-LSTM,2.557941012592819
Train,Bi-LSTM,2.565195082500575
Train,Bi-LSTM,2.6356691535022163
Train,Bi-LSTM,2.5342587697871215
Train,Bi-LSTM,2.5897146763724312
Train,Bi-LSTM,2.592211656444691
Train,Bi-LSTM,2.6050289200089862
Train,Bi-LSTM,2.5275236254710776
Train,Bi-LSTM,2.5952008819471906
Test,GRU,2.5263005202535087
Test,GRU,2.5395249369853907
Test,GRU,2.5124284607966527
Test,GRU,2.427687981376279
Test,GRU,2.5287468464624903
Test,GRU,2.51864545435546
Test,GRU,2.4922496712856868
Test,GRU,2.529807574754586
Test,GRU,2.5140110916449476
Train,GRU,2.5661932142180706
Train,GRU,2.618581098613071
Train,GRU,2.58086900658063
Train,GRU,2.5057584573679743
Train,GRU,2.5656483641422447
Train,GRU,2.560520513338396
Train,GRU,2.5525150139294874
Train,GRU,2.599460866578948
Train,GRU,2.5723280915207725
Test,LSTM,2.5167219267040535
Test,LSTM,2.6122458788077716
Test,LSTM,2.4981246472584973
Test,LSTM,2.4977321372665475
Test,LSTM,2.5662105309719
Test,LSTM,2.586970226749573
Test,LSTM,2.618879299779063
Test,LSTM,2.5483655945504675
Test,LSTM,2.579274043707198
Train,LSTM,2.5357945724053477
Train,LSTM,2.669292677904426
Train,LSTM,2.551285166371754
Train,LSTM,2.5438664247558265
Train,LSTM,2.6430134494642177
Train,LSTM,2.625991453738106
Train,LSTM,2.6101175877207186
Train,LSTM,2.6280199981089316
Train,LSTM,2.6691836535074334
