data,model,RMSE
Test,Bi-LSTM,2.5082217940020612
Test,Bi-LSTM,2.565284439225972
Test,Bi-LSTM,2.5341473656412257
Test,Bi-LSTM,2.5650097721501153
Test,Bi-LSTM,2.542949607398481
Test,Bi-LSTM,2.5864644748178622
Test,Bi-LSTM,2.5892785978107122
Test,Bi-LSTM,2.5579593351761325
Test,Bi-LSTM,2.5552399540992456
Test,Bi-LSTM,2.573638013593112
Test,Bi-LSTM,2.61988746946451
Test,Bi-LSTM,2.6562194015938965
Test,Bi-LSTM,2.67467993700038
Test,Bi-LSTM,2.600326986493978
Test,Bi-LSTM,2.5463206523210102
Train,Bi-LSTM,2.5643983177156495
Train,Bi-LSTM,2.609088724561283
Train,Bi-LSTM,2.6015811611037214
Train,Bi-LSTM,2.586110669324242
Train,Bi-LSTM,2.5765495916268217
Train,Bi-LSTM,2.601214610362625
Train,Bi-LSTM,2.605901687476818
Train,Bi-LSTM,2.6145583913565167
Train,Bi-LSTM,2.6281686006957212
Train,Bi-LSTM,2.591243148375919
Train,Bi-LSTM,2.652149368219836
Train,Bi-LSTM,2.640296227144422
Train,Bi-LSTM,2.6558107958574095
Train,Bi-LSTM,2.6221486015571442
Train,Bi-LSTM,2.5970133955434607
Test,GRU,2.531604514735186
Test,GRU,2.536529154958513
Test,GRU,2.5222054033872063
Test,GRU,2.5258716169793587
Test,GRU,2.5166087227838267
Test,GRU,2.5412300198829016
Test,GRU,2.5220539365017207
Test,GRU,2.644736689024301
Test,GRU,2.502199757326677
Test,GRU,2.504128065135765
Test,GRU,2.5516732365621833
Test,GRU,2.557716897488517
Test,GRU,2.5254747785979377
Test,GRU,2.5824313432666592
Test,GRU,2.5566038715989206
Train,GRU,2.6090432240642523
Train,GRU,2.5649171930581542
Train,GRU,2.5800229727202972
Train,GRU,2.5839490059571943
Train,GRU,2.5746281050599396
Train,GRU,2.6050872592244447
Train,GRU,2.573818639277068
Train,GRU,2.6677379877267495
Train,GRU,2.575415771487366
Train,GRU,2.5819537556881826
Train,GRU,2.611363571678172
Train,GRU,2.636742840730863
Train,GRU,2.5761870993781355
Train,GRU,2.6333317705901265
Train,GRU,2.5889869327711375
Test,LSTM,2.539210779119483
Test,LSTM,2.572033753090999
Test,LSTM,2.5671705452135027
Test,LSTM,2.5823761186256196
Test,LSTM,2.5524268207170238
Test,LSTM,2.510964053782757
Test,LSTM,2.5321508249247158
Test,LSTM,2.555938102159049
Test,LSTM,2.498386086019117
Test,LSTM,2.541636854029989
Test,LSTM,2.518729702990558
Test,LSTM,2.605983119644787
Test,LSTM,2.5848768932001747
Test,LSTM,2.5661553719764245
Test,LSTM,2.5186969071184997
Train,LSTM,2.5864779704470124
Train,LSTM,2.597351587522582
Train,LSTM,2.5982815029678545
Train,LSTM,2.6243416729815756
Train,LSTM,2.5942829020756144
Train,LSTM,2.5801664164868585
Train,LSTM,2.5787736257511154
Train,LSTM,2.5886562668014803
Train,LSTM,2.5518955784772928
Train,LSTM,2.5764158658150027
Train,LSTM,2.565693476140391
Train,LSTM,2.6165125694590547
Train,LSTM,2.6227568405509323
Train,LSTM,2.6002527280737153
Train,LSTM,2.5689659174913393
