Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
1,0,0,0,0,-1,0,2,-5
2,1,0,0,0,0,2,-1,1
3,0,1,0,0,-1,11,-9,2
4,1,0,0,0,0,0,1,-5
5,0,0,0,0,-1,6,-4,7
6,0,1,0,0,-1,4,-2,4
7,-1,-1,0,0,0,-2,1,-3
8,0,0,0,0,0,1,0,1
9,0,1,0,0,0,0,-4,8
10,1,0,0,0,0,2,-1,6
11,0,1,0,0,0,1,0,2
12,0,1,0,0,0,2,-1,19
13,0,1,0,0,0,4,-3,6
14,-1,-1,-1,-1,0,-15,3,-42
15,1,0,0,0,0,3,-2,11
16,0,0,-2,-2,0,-1,2,-5
17,1,0,0,0,0,3,-2,14
18,1,0,0,0,0,0,-3,-3
19,0,1,0,0,0,1,0,-1
20,0,0,0,0,0,-8,1,-9
21,-1,-1,0,0,0,0,1,-1
22,-1,0,-1,0,-1,1,1,8
23,0,1,0,0,0,4,-3,3
24,-1,3,-1,-1,0,2,-1,9
25,1,0,0,0,0,-7,3,-7
26,0,0,0,0,0,0,1,-1
27,0,1,0,0,0,0,-7,-7
28,0,1,0,0,0,1,0,4
29,0,0,0,0,0,-1,2,-4
30,-1,1,1,0,0,-4,5,-6
31,0,1,0,0,-1,0,2,-7
32,0,0,1,0,0,3,-2,23
33,0,2,-1,-1,0,0,1,2
34,0,0,-1,-1,0,-1,2,-3
36,1,-1,1,0,0,1,0,-2
37,-1,-1,0,0,1,0,0,-2
38,-1,-1,0,0,-1,2,0,1
39,6,-8,1,-2,-1,1,1,1
40,1,-1,1,0,0,0,1,3
42,-1,-1,0,0,1,-4,2,-3
43,-1,-1,0,0,0,-2,2,-2
44,-1,2,0,1,0,0,-2,10
45,0,0,0,0,-1,-6,0,-7
46,-1,-1,-1,-1,1,-4,1,-3
47,0,0,-1,-1,0,-3,1,-3
48,0,1,0,0,-1,-1,-5,6
49,1,0,0,0,0,0,-2,9
50,0,1,0,1,0,0,1,2
51,1,0,0,0,0,-1,2,-2
52,-1,-1,0,1,0,1,0,4
53,1,0,0,0,0,0,-3,10
54,0,0,0,0,0,2,-1,9
55,1,0,0,0,-1,4,-2,18
56,0,0,0,0,0,1,0,2
57,1,1,-1,-1,0,3,-2,9
58,2,-2,1,1,-1,3,-1,6
60,-1,-1,-1,-1,1,-2,2,-2
61,0,2,-1,-1,0,1,0,-3
62,-1,-1,1,0,0,0,1,-6
63,-1,0,-1,-1,1,-3,3,-7
64,0,1,0,0,1,1,-5,12
65,1,0,0,0,0,0,1,0
66,1,0,0,0,0,0,-7,8
67,0,1,0,0,0,7,-6,6
68,0,1,0,0,0,3,-2,12
70,0,0,1,0,0,0,1,-1
71,0,0,0,0,-1,-1,-18,5
72,0,1,0,0,0,1,0,8
73,1,-2,2,-1,0,4,-3,15
74,-1,-1,0,0,-1,2,0,0
75,1,0,0,0,1,0,0,2
76,0,1,0,0,1,2,-2,0
77,0,1,0,0,0,1,0,0
78,-1,-1,1,0,0,1,0,5
80,0,0,0,0,-1,1,1,-4
81,0,1,0,0,0,3,-2,5
82,0,1,0,0,0,0,-1,-1
84,0,1,0,0,0,0,-3,-3
85,0,0,-1,-1,1,-1,1,-3
86,-2,-2,0,0,0,-2,3,-5
87,0,1,0,1,0,3,-2,4
88,0,1,0,1,0,3,-2,10
89,-2,-2,0,0,0,-1,2,-5
90,0,0,0,1,0,1,0,0
91,0,0,0,1,0,-2,3,-4
92,-1,-1,0,0,0,1,0,-2
93,0,1,0,0,0,-4,5,-8
94,2,-1,0,0,0,-5,4,-5
95,0,0,0,0,1,3,-3,4
96,1,0,0,0,0,1,0,-2
97,0,1,0,1,0,1,0,3
98,1,0,0,1,0,3,-2,2
